Date,Price,Close_fin,Close_IT,Close_Energy,Close_FMCG,Close_Auto
29/02/2012,5385.20,4100.60,6608.90,7899.00,10654.90,4034.10
01/03/2012,5339.75,4227.30,6572.45,7994.25,10642.75,4160.05
02/03/2012,5359.35,4203.45,6606.85,8182.85,10560.30,4159.40
03/03/2012,5359.40,4162.60,6553.20,8110.15,10517.55,4115.70
05/03/2012,5280.35,4207.40,6532.40,8092.65,10482.20,4114.60
06/03/2012,5222.40,4209.45,6549.00,8109.15,10463.50,4105.80
07/03/2012,5220.45,4109.90,6471.40,7993.15,10494.55,4089.80
09/03/2012,5333.55,4064.10,6511.70,7840.05,10574.90,4066.90
12/03/2012,5359.55,4089.20,6563.25,7726.40,10580.50,4071.95
13/03/2012,5429.50,4248.10,6558.45,7838.35,10561.60,4165.00
14/03/2012,5463.90,4279.90,6492.70,7928.70,10570.70,4193.90
15/03/2012,5380.50,4317.15,6546.75,8111.15,10692.60,4194.35
16/03/2012,5317.90,4368.85,6515.20,8150.85,10784.00,4237.25
19/03/2012,5257.05,4249.70,6519.00,8012.90,10692.10,4209.00
20/03/2012,5274.85,4201.75,6501.25,7746.55,10894.60,4215.40
21/03/2012,5364.95,4115.55,6404.40,7645.50,11020.40,4197.05
22/03/2012,5228.45,4151.40,6423.40,7691.40,11136.85,4132.10
23/03/2012,5278.20,4249.15,6523.90,7750.15,11241.60,4192.20
26/03/2012,5184.25,4120.75,6437.15,7511.20,11053.40,4118.75
27/03/2012,5243.15,4160.95,6532.15,7562.25,11165.90,4147.75
28/03/2012,5194.75,4062.10,6436.75,7396.85,11165.35,4093.00
29/03/2012,5178.85,4117.15,6507.30,7424.55,11359.80,4106.95
30/03/2012,5295.55,4047.35,6450.65,7335.15,11371.15,4083.95
02/04/2012,5317.90,4046.00,6366.35,7352.50,11292.00,4105.95
03/04/2012,5358.50,4143.75,6516.00,7557.20,11426.05,4207.00
04/04/2012,5322.90,4191.45,6548.00,7542.40,11438.70,4216.30
09/04/2012,5234.40,4244.40,6550.90,7658.65,11461.00,4209.95
10/04/2012,5243.60,4207.20,6539.90,7620.30,11431.35,4188.80
11/04/2012,5226.85,4113.80,6466.65,7505.55,11377.35,4139.35
12/04/2012,5276.85,4142.65,6396.25,7499.60,11578.25,4184.10
13/04/2012,5207.45,4151.15,6413.80,7439.40,11590.20,4168.30
16/04/2012,5226.20,4213.25,6343.85,7491.55,11764.55,4214.90
17/04/2012,5289.70,4182.20,5782.85,7528.65,11822.40,4229.75
18/04/2012,5300.00,4213.65,5751.10,7501.45,11955.55,4284.95
19/04/2012,5332.40,4255.85,5801.70,7579.15,12125.85,4325.95
20/04/2012,5290.85,4248.00,5815.00,7632.35,12041.70,4389.60
23/04/2012,5200.60,4282.60,5861.75,7602.35,12155.85,4471.30
24/04/2012,5222.65,4233.55,5849.45,7499.70,12175.05,4472.40
25/04/2012,5202.00,4167.20,5680.15,7470.15,12057.85,4396.30
26/04/2012,5189.00,4155.35,5928.40,7482.45,12098.30,4395.65
27/04/2012,5190.60,4126.85,5850.70,7442.55,12152.70,4416.45
30/04/2012,5248.15,4107.20,5871.90,7409.75,12215.15,4377.05
02/05/2012,5239.15,4120.05,5940.35,7402.75,12115.65,4384.40
03/05/2012,5188.40,4154.15,6085.40,7503.30,12139.85,4433.15
04/05/2012,5086.85,4163.60,6124.90,7441.85,12168.55,4356.90
07/05/2012,5114.15,4100.40,6161.10,7376.80,12115.55,4250.40
08/05/2012,4999.95,3986.60,6100.35,7246.85,11990.65,4174.65
09/05/2012,4974.80,4016.45,6089.20,7225.20,11879.40,4228.90
10/05/2012,4965.70,3915.85,5901.45,7153.10,11580.50,4142.25
11/05/2012,4928.90,3861.40,5898.80,7044.60,11944.95,4105.40
14/05/2012,4907.80,3860.55,5890.00,7058.30,11940.10,4072.75
15/05/2012,4942.80,3847.25,5830.80,7006.05,11769.40,4094.10
16/05/2012,4858.25,3804.95,5855.85,6911.30,11795.55,4073.50
17/05/2012,4870.20,3827.30,5956.30,6915.25,11701.10,4076.05
18/05/2012,4891.45,3742.60,5870.25,6875.80,11564.85,3973.80
21/05/2012,4906.05,3759.70,5869.10,6905.75,11794.60,3952.55
22/05/2012,4860.50,3808.00,5865.45,6949.10,11935.65,3875.85
23/05/2012,4835.65,3847.25,5796.55,6993.30,11764.60,3903.10
24/05/2012,4921.40,3800.50,5822.45,6923.25,11677.05,3878.05
25/05/2012,4920.40,3775.10,5832.15,6894.20,11666.50,3853.70
28/05/2012,4985.65,3884.55,5886.10,7016.25,11714.05,3893.30
29/05/2012,4990.10,3880.85,5879.85,7010.40,11668.70,3884.15
30/05/2012,4950.75,3964.80,5916.30,7062.50,11783.35,3946.90
31/05/2012,4924.25,3959.60,5983.25,7087.55,11661.15,3958.85
01/06/2012,4841.60,3900.55,6012.35,7066.90,11668.25,3814.15
04/06/2012,4848.15,3869.10,6008.80,7073.55,11646.15,3739.75
05/06/2012,4863.30,3799.80,5902.75,6915.10,11687.40,3670.80
06/06/2012,4997.10,3821.70,5884.00,6960.50,11502.60,3695.25
07/06/2012,5049.65,3850.45,5904.90,7021.90,11377.95,3685.50
08/06/2012,5068.35,3954.50,5999.25,7181.00,11720.65,3821.55
11/06/2012,5054.10,4028.50,6021.80,7228.70,11813.00,3871.45
12/06/2012,5115.90,4038.20,5975.50,7255.00,11909.95,3872.75
13/06/2012,5121.45,4033.65,5965.45,7217.85,11944.25,3846.70
14/06/2012,5054.75,4090.25,6017.95,7270.85,12030.60,3914.30
15/06/2012,5139.05,4093.15,6040.80,7254.00,12177.45,3851.70
18/06/2012,5064.25,3985.05,6065.25,7206.30,12137.00,3778.95
19/06/2012,5103.85,4062.90,6134.45,7267.50,12289.80,3876.70
20/06/2012,5120.55,3954.70,6082.00,7202.85,12094.60,3850.00
21/06/2012,5165.00,3975.85,6069.15,7328.40,12274.20,3850.40
22/06/2012,5146.05,3986.25,6051.45,7375.10,12245.95,3889.50
25/06/2012,5114.65,4059.50,6043.35,7323.65,12435.95,3917.85
26/06/2012,5120.80,4047.55,6028.55,7319.55,12395.80,3920.80
27/06/2012,5141.90,4018.50,5997.05,7297.45,12383.25,3895.35
28/06/2012,5149.15,4028.05,5988.60,7385.75,12282.95,3907.05
29/06/2012,5278.90,4053.30,6042.40,7396.35,12346.60,3880.90
02/07/2012,5278.60,4049.25,6055.65,7385.65,12462.95,3886.90
03/07/2012,5287.95,4171.65,6144.60,7543.50,12729.10,3966.40
04/07/2012,5302.55,4207.65,6120.90,7560.35,12455.95,3943.95
05/07/2012,5327.30,4245.65,6087.50,7588.30,12347.05,3949.45
06/07/2012,5316.95,4267.10,6074.75,7561.00,12316.15,3969.85
09/07/2012,5275.15,4307.05,6077.35,7565.85,12465.95,3999.15
10/07/2012,5345.35,4320.75,6027.25,7530.05,12548.70,3983.65
11/07/2012,5306.30,4285.50,6018.20,7479.05,12465.10,3945.05
12/07/2012,5235.25,4350.80,6056.50,7544.60,12673.80,4006.50
13/07/2012,5227.25,4331.30,6049.35,7466.85,12499.15,3960.90
16/07/2012,5197.25,4293.90,5737.65,7474.80,12484.75,3921.55
17/07/2012,5192.85,4289.65,5713.90,7465.45,12523.35,3919.35
18/07/2012,5216.30,4285.95,5576.75,7463.55,12476.10,3888.80
19/07/2012,5242.70,4285.85,5555.35,7427.85,12605.80,3836.70
20/07/2012,5205.10,4311.50,5582.25,7419.90,12614.75,3861.55
23/07/2012,5117.95,4331.80,5682.25,7506.65,12603.80,3845.90
24/07/2012,5128.20,4270.45,5674.20,7451.15,12589.35,3856.65
25/07/2012,5109.60,4194.95,5609.20,7370.80,12450.55,3763.20
26/07/2012,5043.00,4200.05,5571.30,7414.10,12682.75,3758.55
27/07/2012,5099.85,4188.80,5588.65,7364.90,12754.15,3735.85
30/07/2012,5199.80,4127.35,5489.60,7254.15,12555.90,3701.15
31/07/2012,5229.00,4159.60,5562.00,7332.05,12724.65,3735.15
01/08/2012,5240.50,4255.55,5646.30,7461.15,12854.50,3818.20
02/08/2012,5227.75,4268.15,5695.25,7567.70,12893.30,3829.75
03/08/2012,5215.70,4298.10,5670.70,7565.75,12945.25,3823.50
06/08/2012,5282.55,4281.55,5670.40,7508.70,13036.75,3804.10
07/08/2012,5336.70,4261.00,5697.15,7553.00,12987.25,3778.70
08/08/2012,5338.00,4328.95,5699.10,7765.20,12959.80,3852.05
09/08/2012,5322.95,4389.45,5799.80,7777.15,13036.40,3910.55
10/08/2012,5320.40,4371.15,5828.30,7792.65,13076.40,3951.20
13/08/2012,5347.90,4321.45,5827.60,7733.60,13269.45,3969.25
14/08/2012,5380.35,4288.95,5905.15,7755.15,13359.65,3930.20
16/08/2012,5362.95,4339.10,5912.35,7810.30,13376.80,3924.65
17/08/2012,5366.30,4357.90,5936.35,7892.65,13406.15,3954.95
21/08/2012,5421.00,4343.40,5915.90,7947.35,13136.00,3988.45
22/08/2012,5412.85,4346.60,5980.65,7885.30,13306.20,4014.35
23/08/2012,5415.35,4398.45,6085.30,7947.55,13350.95,4067.70
24/08/2012,5386.70,4383.80,6099.10,7902.40,13357.85,4077.70
27/08/2012,5350.25,4367.75,6207.60,7824.55,13466.80,4042.25
28/08/2012,5334.60,4332.00,6170.70,7781.35,13490.75,4040.10
29/08/2012,5287.80,4271.25,6112.95,7804.60,13530.00,4024.60
30/08/2012,5315.05,4243.95,6159.90,7807.45,13629.70,3984.50
31/08/2012,5258.50,4214.25,6099.15,7729.75,13698.65,3927.20
03/09/2012,5253.75,4255.10,6144.55,7737.30,13793.60,3931.20
04/09/2012,5274.00,4233.25,6072.35,7620.20,13641.60,3889.25
05/09/2012,5225.70,4218.50,6083.20,7589.35,13670.40,3905.30
06/09/2012,5238.40,4220.95,6084.05,7688.05,13703.45,3931.00
07/09/2012,5342.10,4161.15,6083.75,7628.45,13794.70,3893.10
08/09/2012,5358.70,4178.10,6233.35,7634.10,13557.10,3915.80
10/09/2012,5363.45,4261.45,6342.70,7766.75,13660.75,3994.85
11/09/2012,5390.00,4270.85,6359.35,7786.45,13708.00,4014.30
12/09/2012,5431.00,4264.30,6361.90,7784.00,13693.50,4036.25
13/09/2012,5435.35,4309.70,6424.65,7793.50,13738.70,4030.00
14/09/2012,5577.65,4319.00,6485.95,7823.85,13827.70,4089.60
17/09/2012,5610.00,4318.70,6514.35,7847.40,13918.85,4078.80
18/09/2012,5600.05,4482.05,6599.40,8048.50,13857.20,4191.20
20/09/2012,5554.25,4600.45,6398.20,8200.70,13329.40,4264.25
21/09/2012,5691.15,4606.55,6370.60,8106.35,13350.25,4267.40
24/09/2012,5669.60,4549.80,6422.50,7990.50,13368.40,4248.55
25/09/2012,5673.90,4713.95,6379.55,8200.30,13575.15,4318.05
26/09/2012,5663.45,4720.25,6364.00,8083.65,13370.90,4352.25
27/09/2012,5649.50,4730.45,6367.95,8062.95,13620.25,4318.00
28/09/2012,5703.30,4714.70,6348.80,8076.85,13720.90,4302.65
01/10/2012,5718.80,4712.10,6285.20,7964.80,13940.35,4297.60
03/10/2012,5731.25,4735.70,6313.80,8071.65,14136.00,4369.55
04/10/2012,5787.60,4711.75,6435.40,8043.80,14167.55,4399.95
05/10/2012,5746.95,4735.70,6422.55,8103.75,14197.65,4390.65
08/10/2012,5676.00,4823.55,6399.50,8176.15,14343.45,4383.20
09/10/2012,5704.60,4732.35,6292.45,8208.65,14419.25,4406.95
10/10/2012,5652.15,4682.05,6207.95,8003.95,14418.25,4355.90
11/10/2012,5708.05,4710.05,6274.80,7975.30,14575.45,4347.65
12/10/2012,5676.05,4645.00,6225.80,7906.95,14572.75,4314.40
15/10/2012,5687.25,4699.05,6268.70,7965.75,14694.20,4337.85
16/10/2012,5648.00,4669.40,6106.15,7958.55,14710.50,4314.65
17/10/2012,5660.25,4684.20,6060.45,7991.45,14807.65,4303.15
18/10/2012,5718.70,4661.00,6050.85,7922.30,14793.10,4258.35
19/10/2012,5684.25,4671.90,6045.15,7912.45,14844.70,4278.40
22/10/2012,5717.15,4751.95,6088.85,7949.20,14945.50,4334.45
23/10/2012,5691.40,4708.10,6067.00,7870.95,15063.35,4297.40
25/10/2012,5705.30,4742.65,6112.80,7940.70,15006.15,4295.40
26/10/2012,5664.30,4730.45,6063.15,7893.20,14890.35,4263.45
29/10/2012,5665.60,4762.10,6051.70,7897.10,14913.25,4286.60
30/10/2012,5597.90,4718.50,6025.40,7821.30,14643.00,4323.50
